example_id,source_category,hallucinated_substring,short_reason_it_is_promising,predicted_category,token_mapping_status,likely_divergence_type,minimal_edit_feasible,recommended_priority_rank
93,CNN/DM,2012,Compact year insertion with already-clean token mapping and a likely lexical year flip,date/year,already_clean,lexical_semantic,yes,1
2265,CNN/DM,April 2019,Month-year added where the source only supports the month so the correction path should stay local,date/year,needs_checking,lexical_semantic,yes,2
2781,CNN/DM,Gao was detained in April 2013,Specific year anchor was added to an otherwise supported event which should permit a short corrective edit,date/year,needs_checking,lexical_semantic,yes,3
3573,CNN/DM,"On Saturday, April 10",Full calendar date appears to be invented and should localize to a short temporal span,date/year,needs_checking,lexical_semantic,yes,4
2793,Recent News,2020,Single future-year insertion is compact and likely to yield a clean lexical divergence,date/year,needs_checking,lexical_semantic,yes,5
75,CNN/DM,"premieres on April 1st,",Premiere date is introduced out of thin air and the target span is short even though token boundaries were previously ambiguous,date/year,needs_checking_pilot_ambiguous,lexical_semantic,yes,6
4563,Recent News,marking the first repatriation flight since 2019,Temporal anchor since 2019 looks locally editable and policy-context summaries often validate cleanly,date/year,needs_checking,lexical_semantic,yes,7
4365,Recent News,from December 1,Invented start date is short and concrete which should support minimal prompt corruption,date/year,needs_checking,lexical_semantic,yes,8
2199,CNN/DM,28th anniversary,Compact temporal/count phrase with a likely local correction if the anniversary count is unsupported,date/year,needs_checking,lexical_semantic,yes,9
2073,CNN/DM,with a release date planned for December.,Release-month addition is short and potentially easy to neutralize with a small clarification,date/year,needs_checking,lexical_semantic,yes,10
597,CNN/DM,30 years after the original.,Already-clean temporal-count mapping and a short duration claim make this a strong reuse candidate,number/count,already_clean,lexical_semantic,yes,11
813,CNN/DM,10 counts of fraud,Clear numeric conflict versus the source and the correction should stay tightly localized,number/count,needs_checking,lexical_semantic,yes,12
1407,CNN/DM,within 49 days,Strong number mismatch against a supported deadline with a short editable span,number/count,needs_checking,lexical_semantic,yes,13
2841,CNN/DM,"exceeded $10,000",Specific dollar amount appears unsupported and should admit a local numeric correction,number/count,needs_checking,lexical_semantic,yes,14
3381,CNN/DM,"worth $1,300 each.",Specific per-item dollar amount is invented and likely to produce a strong lexical monetary divergence,number/count,needs_checking,lexical_semantic,yes,15
3321,CNN/DM,The quake affected 34 states in India,This looks like a crisp semantic-number swap states versus deaths rather than a punctuation issue,number/count,needs_checking,lexical_semantic,yes,16
2439,CNN/DM,55,Very compact age token but the source itself appears to allow 54 or 55 so truth verification is possible but less clean,number/count,needs_checking,lexical_semantic,maybe,17
3411,CNN/DM,21 Coptic Christians in Egypt last year.,Short historical count-plus-year phrase is promising though the year component still needs explicit validation,date/year,needs_checking,lexical_semantic,yes,18
513,CNN/DM,such as Katie Hopkins,Short named-entity insertion is a usable lexical backup if the next round needs a non-numeric case,entity/title,needs_checking,lexical_semantic,yes,19
951,CNN/DM,Paddy Power has apologized,Named entity plus action claim is a short semantic completion and a reasonable backup outside the numeric/date queue,entity/title,needs_checking,lexical_semantic,yes,20
